PLOT,FLAG,FLAG_NATIVE,ANT_SP,COMPETE,INITIAL TEMP,DISC_TIME,DISC_TEMP,RECR_TIME,RECR_TEMP,MAX_ANT,FINAL_ANT,FINAL_TEMP,COMPETE_TRUE,COMPETE_DISPLACE,COMPETE_TIME,COMPETE_TEMP
2,9,DI,DI,N,44,9,42,38,36.5,15,11,26,,,,
2,9,DI,LH,N,40,13,36,11,36.5,28,0,28,,,,
2,17,SX,LH,N,44.5,75,37.5,9,35,120,120,22,,,,
2,17,SX,SX,N,40,20,38.5,3,37.5,150,31,28,,,,
1,18,FM,FM,N,45,5,43.5,,,1,0,24,,,,
1,18,FM,LH,N,41,48,36,12,35.5,160,140,24,,,,
4,19,SX,LH,N,38,95,34.5,25,30,120,120,28,,,,
4,19,SX,SX,N,38,5,36,10,34.5,200,200,28,,,,
2,20,PV,LH,N,44,43,36,16,35,200,200,28,,,,
2,20,PV,PV,N,44.5,7,43.5,11,41,300,300,27.5,,,,
3,24,DI,LH,N,37,15,33,70,32,14,13,24.5,,,,
3,24,DI,DI,N,38,5,37.5,6,37,300,300,26.5,,,,
1,25,DI,DI,N,42,17,37.5,31,33,65,50,25.5,,,,
1,25,DI,LH,N,43.5,26,35,83,30.5,150,150,28,,,,
5,33,DI,DI,N,40,2,40,45,35,27,27,24,,,,
5,33,DI,LH,N,42,22,39,11,38,250,250,24.5,,,,
1,37,PV,LH,N,45,23,42.5,16,42,80,130,24,,,,
1,37,PV,PV,N,44.5,87,33,9,30,70,70,22,,,,
4,38,DI,DI,N,43.5,3,43.5,55,34,23,23,24,,,,
3,38,SX,LH,N,43.5,72,33,9,31,130,130,21,,,,
4,38,DI,LH,N,38,5,38,15,35.5,310,310,22,,,,
3,38,SX,SX,N,42,76,32,8,30,240,240,24,,,,
5,43,SX,LH,N,45,8,45,17,26.5,170,170,25,,,,
5,43,SX,SX,N,45,62,32.5,43,29,50,50,25,,,,
4,47,FM,FM,N,41,7,41,,,1,0,24,,,,
4,47,FM,LH,N,39,15,38,11,38,150,150,21,,,,
2,53,FM,FM,N,38,51,35.5,,,1,0,23,,,,
2,53,FM,LH,N,40,54,35.5,49,31,65,65,23,,,,
3,59,PV,LH,N,45,32,40.5,18,38,350,350,29,,,,
3,59,PV,PV,N,43,52,35,9,34,350,350,27,,,,
1,60,SX,LH,N,45,112,31,5,32,130,130,21,,,,
1,60,SX,SX,N,45,110,29,11,28.5,170,170,24.5,,,,
3,61,FM,FM,N,41,72,34,,,1,0,21,,,,
3,61,FM,LH,N,40,23,38,19,37,200,200,26,,,,
5,39-40,PV,LH,N,42,21,40,21,35,480,370,16.5,,,,
5,39-40,PV,PV,N,44,22,37.5,,,2,0,,,,,
4,Near 38,PV,LH,N,43.5,2,48,11,44.5,660,500,18,,,,
4,Near 38,PV,PV,N,42,45,28.5,20,30.5,30,7,16,,,,
2,9,DI,DI,Y,43.5,9,42,75,32.5,22,22,27.5,N,,,
2,9,DI,LH,Y,43.5,,,,,,,27.5,N,,,
2,17,SX,LH,Y,45,93,33,23,27,80,79,22,N,,,
2,17,SX,SX,Y,45,,,,,,,22,N,,,
1,18,FM,FM,Y,42,,,,,,,26,N,,,
1,18,FM,LH,Y,42,17,39,9,38,260,260,26,N,,,
4,19,SX,LH,Y,38,43,31.5,8,29,90,90,20,N,,,
4,19,SX,SX,Y,38,,,,,,,20,N,,,
2,20,PV,LH,Y,42,86,31,13,32,150,150,25.5,N,,,
2,20,PV,PV,Y,42,,,,,,,25.5,N,,,
3,24,SX,LH,Y,38,1,38,7,38,330,330,25.5,N,,,
3,24,SX,SX,Y,38,,,,,,,25.5,N,,,
1,25,DI,DI,Y,40,4,38,30,34,16,0,27.5,Y,,,
1,25,DI,LH,Y,40,105,34,30,30.5,170,170,27.5,Y,Y,8,32
5,33,DI,DI,Y,40,6,39.5,,,3,0,22,Y,,,
5,33,DI,LH,Y,40,22,36,15,35,180,180,22,Y,Y,7,36
1,37,PV,LH,Y,42,14,40,14,38,110,110,23,N,,,
1,37,PV,PV,Y,42,,,,,,,23,N,,,
4,38,DI,DI,Y,44.5,,,,,,,21,N,,,
3,38,SX,LH,Y,40,18,35,,,6,0,24,Y,,,
4,38,DI,LH,Y,44.5,36,40,8,39.5,90,90,21,N,,,
3,38,SX,SX,Y,40,24,34,5,35,220,220,24,Y,Y,7,35
5,43,SX,LH,Y,37,30,32,,,8,0,22,Y,,,
5,43,SX,SX,Y,37,60,27.5,14,27,100,10,22,Y,Y,15,28
4,47,FM,FM,Y,43,,,,,,,20,N,,,
4,47,FM,LH,Y,43,32,38,16,37.5,250,250,20,N,,,
2,53,FM,FM,Y,40,,,,,,,25.5,N,,,
2,53,FM,LH,Y,40,34,37.5,12,32,250,250,25.5,N,,,
3,59,PV,LH,Y,41,33,36.5,19,36,230,230,26.5,N,,,
3,59,PV,PV,Y,41,,,,,,,26.5,N,,,
1,60,SX,LH,Y,44,,,,,,,25,N,,,
1,60,SX,SX,Y,44,80,37,40,31,57,57,25,N,,,
3,61,FM,FM,Y,40,6,40,,,1,0,21,Y,,,
3,61,FM,LH,Y,40,52,35,9,34.5,300,300,21,Y,N,,
5,39-40,PV,LH,Y,45,13,43,13,39,430,430,17.5,Y,Y,62,28
5,39-40,PV,PV,Y,45,5,45,16,41.5,32,0,17.5,Y,,,
4,Near 38,PV,LH,Y,42.5,0,42.5,8,33,600,270,16.5,Y,,,
4,Near 38,PV,PV,Y,42.5,35,34,,,1,0,16.5,Y,Y,9,34
