NATIVE_SP,PLOT,FLAG,DAY,REMOVAL,ANT_SP,TEMP_START,TIME_DISCOVER,TEMP_DISCOVER,TIME_RECRUIT,TEMP_RECRUIT,ANT_MAX,ANT_FINAL,TEMP_FINAL,TIME_DISCOVER_COMPETE,TEMP_DISCOVER_COMPETE,TIME_COMPETE,TEMP_COMPETE,TIME_RECRUIT_COMPETE,TEMP_RECRUIT_COMPETE,ANT_MAX_COMPETE,ANT_FINAL_COMEPTE
DI,1,25,1,DI,LH,43.5,26,35,83,30.5,150,150,28,,,,,,,,
DI,1,25,2,LH,DI,42,17,37.5,31,33,65,50,25.5,,,,,,,,
DI,1,25,3,NO,DI-LH,40,4,38,30,34,16,0,27.5,105,34,8,32,30,30.5,170,170
DI,2,9,1,LH,DI,44,9,42,38,36.5,15,11,26,,,,,,,,
DI,2,9,2,DI,LH,40,13,36,11,36.5,28,0,28,,,,,,,,
DI,2,9,3,NO,DI,43.5,9,42,75,32.5,22,22,27.5,,,,,,,,
DI,3,24,1,NO,LH,38,1,38,7,38,330,330,25.5,,,,,,,,
DI,3,24,2,LH,DI,37,15,33,70,32,14,13,24.5,,,,,,,,
DI,3,24,3,DI,LH,38,5,37.5,6,37,300,300,26.5,,,,,,,,
SX,1,60,1,LH,SX,45,110,29,11,28.5,170,170,24.5,,,,,,,,
SX,1,60,2,SX,LH,45,112,31,5,32,130,130,21,,,,,,,,
SX,1,60,3,NO,SX,44,80,37,40,31,57,57,25,,,,,,,,
SX,2,17,1,SX,LH,44.5,75,37.5,9,35,120,120,22,,,,,,,,
SX,2,17,2,LH,SX,40,20,38.5,3,37.5,150,31,28,,,,,,,,
SX,2,17,3,NO,LH,45,93,33,23,27,80,79,22,,,,,,,,
SX,3,38,1,NO,LH-SX,40,18,35,,,6,0,24,24,34,7,35,5,35,220,220
SX,3,38,2,LH,SX,42,76,32,8,30,240,240,24,,,,,,,,
SX,3,38,3,SX,LH,38,5,38,15,35.5,310,310,22,,,,,,,,
SX,4,19,1,LH,SX,38,5,36,10,34.5,200,200,28,,,,,,,,
SX,4,19,2,SX,LH,38,95,34.5,25,30,120,120,28,,,,,,,,
SX,4,19,3,NO,LH,38,43,31.5,8,29,90,90,20,,,,,,,,
SX,5,43,1,NO,LH-SX,37,30,32,,,8,0,22,60,27.5,15,28,14,27,100,10
SX,5,43,2,LH,SX,45,62,32.5,43,29,50,50,25,,,,,,,,
SX,5,43,3,SX,LH,45,8,45,17,26.5,170,170,25,,,,,,,,
FM,1,18,1,NO,LH,42,17,39,9,38,260,260,26,,,,,,,,
FM,1,18,2,FM,LH,41,48,36,12,35.5,160,140,24,,,,,,,,
FM,1,18,3,LH,FM,45,5,43.5,,,1,0,24,,,,,,,,
FM,2,53,1,FM,LH,40,54,35.5,49,31,65,65,23,,,,,,,,
FM,2,53,2,LH,FM,38,51,35.5,,,1,0,23,,,,,,,,
FM,2,53,3,NO,LH,40,34,37.5,12,32,250,250,25.5,,,,,,,,
PV,1,37,1,PV,LH,45,23,42.5,16,42,80,130,24,,,,,,,,
PV,1,37,2,LH,PV,44.5,87,33,9,30,70,70,22,,,,,,,,
PV,1,37,3,NO,LH,42,14,40,14,38,110,110,23,,,,,,,,
PV,2,20,1,LH,PV,44.5,7,43.5,11,41,300,300,27.5,,,,,,,,
PV,2,20,2,PV,LH,44,43,36,16,35,200,200,28,,,,,,,,
PV,2,20,3,NO,LH,42,86,31,13,32,150,150,25.5,,,,,,,,
DI,4,38,1,NO,LH,44.5,36,40,8,39.5,90,90,21,,,,,,,,
DI,4,38,2,DI,LH,43.5,72,33,9,31,130,130,21,,,,,,,,
DI,4,38,3,LH,DI,43.5,3,43.5,55,34,23,23,24,,,,,,,,
FM,3,61,1,LH,FM,41,72,34,,,1,0,21,,,,,,,,
PV,4,Near 38,1,PV,LH,43.5,2,48,11,44.5,660,500,18,,,,,,,,
PV,4,Near 38,2,NO,LH-PV,42.5,0,42.5,8,33,600,270,16.5,35,34,9,34,,,1,0
PV,4,Near 38,3,LH,PV,42,45,28.5,20,30.5,30,7,16,,,,,,,,
PV,5,39-40,1,NO,PV-LH,45,5,45,16,41.5,32,0,17.5,13,43,62,28,13,39,430,430
PV,5,39-40,2,LH,PV,44,22,37.5,,,2,0,,,,,,,,,
PV,5,39-40,3,PV,LH,42,21,40,21,35,480,370,16.5,,,,,,,,
DI,5,33,1,LH,DI,40,2,40,45,35,27,27,24,,,,,,,,
DI,5,33,2,DI,LH,42,22,39,11,38,250,250,24.5,,,,,,,,
DI,5,33,3,NO,DI-LH,40,6,39.5,,,3,0,22,22,36,7,36,15,35,180,180
FM,3,61,2,FM,LH,40,23,38,19,37,200,200,26,,,,,,,,
FM,3,61,3,NO,FM-LH,40,6,40,,,1,0,21,52,35,,,9,34.5,300,300
FM,4,47,1,NO,LH,43,32,38,16,37.5,250,250,20,,,,,,,,
FM,4,47,2,FM,LH,39,15,38,11,38,150,150,21,,,,,,,,
FM,4,47,3,LH,FM,41,7,41,,,1,0,24,,,,,,,,
PV,3,59,3,NO,LH,41,33,36.5,19,36,230,230,26.5,,,,,,,,
PV,3,59,1,PV,LH,45,32,40.5,18,38,350,350,29,,,,,,,,
PV,3,59,2,LH,PV,43,52,35,9,34,350,350,27,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
